边城	The Border Town
向下行船时，多随了自己的船只充伙计，甘苦与人相共。	When taking a boat downstream, they suffered the same hardships as the rest of the crew.
荡桨时选最重的一把，背纤时拉头纤二纤，吃的是干鱼，辣子，臭酸菜，睡的是硬帮帮的舱板。	When it was time to man the oars, they chose the heaviest one, and when it was time for towing, they took the lead place among the trackers.  They ate the same dried fish, hot peppers, and putrid pickled cabbage as the others, and they slept on the same stiff, hard deck planks.
向上行从旱路走去，则跟了川东客货，过秀山、龙潭，酉阳作生意，不论寒暑雨雪，必穿了草鞋按站赶路。	On the land route upriver, taking the East Sichuan trade route, they did business in Xiushan, Longtan, and Youyang, always on schedule, even while wearing straw sandals in heat and cold, rain and snow.
且佩了短刀，遇不得已必需动手，便霍的把刀抽出，站到空阔处去，等候对面的一个，接着就同这个人用肉搏来解决。帮里的风气，既为「对付仇敌必需用刀，联结朋友也必需用刀」，故需要刀时，他们也就从不让它失去那点机会。	The young men were armed with knives.  They could unsheathe them in a flash, but did so only when forced.  They'd move to a clearing and wait for the opponent to make his move, then let their muscles decide the outcome.
学贸易，学应酬，学习到一个新地方去生活，且学习用刀保护身体同名誉，教育的目的，似乎在使两个孩子学得做人的勇气与义气。	Gang ritual decreed that "it takes a knife both to fend off adversaries and make blood brothers," so when a knife was needed, the two boys were not shy about putting it to its intended use. All their education  in the ways of trade, social manners, living in a strange environment, using a knife to defend their persons and their reputations  seemed aimed at teaching these two boys the courage and sense of duty to be a man.
一分教育的结果，弄得两个人皆结实如老虎，却又和气亲人，不骄惰，不浮华，不倚势凌人，故父子三人在茶峒边境上为人所提及时，人人对这个名姓无不加以一种尊敬。	And this very education made both of them as strong and tough as tigers, yet also friendly and approachable, never lazy and arrogant, ostentatious, or bullying.  When anyone at the Chadong frontier brought up the character of Shunshun and his boys, they always spoke their names with respect.
作父亲的当两个儿子很小时，就明白大儿子一切与自己相似，却稍稍见得溺爱那第二个儿子。	Since his boys' infancy, their father had seen that the elder would resemble him in all things, yet he seemed slightly partial to the younger son.
由于这点不自觉的私心，他把长子取名天保，次子取名傩送。	This unconscious preference led him to name the elder son Tianbao (Heaven-protected), and his younger brother Nuosong (Sent by the Nuo Gods).
意思是天保佑的在人事上或不免有龃龉处，至于傩神所送来的，照当地习气，人便不能稍加轻视了。	He who was protected by Heaven might not be so favored in the worldly affairs of humans, but he who was sent by the Nuo gods, according to local understanding, must not be underestimated.
傩送美丽得很，茶峒船家人拙于赞扬这种美丽，只知道为他取出一个诨名为「岳云」。	Nuosong was exquisitely handsome.  The boat people of Chadong were hard put to find words for his good looks.  The best they could come up with was the nickname Yue Yun.
虽无什么人亲眼看到过岳云，一般的印象，却从戏台上小生岳云，得来一个相近的神气。	None of them had ever seen Yue Yun, that most handsome warrior of the Song dynasty a thousand years earlier, but they thought they saw a resemblance to the dashing Yue Yun figure who appeared onstage in local opera.
第三章	CHAPTER THREE
两省接壤处，十余年来主持地方军事的，注重在安辑保守，处置还得法，并无变故发生。	For ten years and more, the local military commander at this provincial border had emphasized maintaining the peace and keeping things as they were.  He handled things quite deftly, so there had been no unrest.
水陆商务既不至于受战争停顿，也不至于为土匪影响，一切莫不极有秩序，人民也莫不安分乐生。	Commerce on land and water never had to stop on account of warfare or rural banditry; good order was the rule, and people were satisfied.
这些人，除了家中死了牛，翻了船，或发生别的死亡大变，为一种不幸所绊倒觉得十分伤心外，中国其他地方正在如何不幸挣扎中的情形，似乎就永远不会为这边城人民所感到。	They felt grief at such misfortunes as the death of a cow, the capsizing of a boat, or any other fatal catastrophe, but the disasters suffered by other places in China due to the awful struggles going on there seemed never to be felt by these frontier folk.
边城所在一年中最热闹的日子，是端午，中秋和过年。	The most stirring days of the year in this border town were the Dragon Boat Festival, the Mid-autumn Festival, and the lunar New Year.
三个节日过去三五十年前如何兴奋了这地方人，直到现在，还毫无什么变化，仍能成为那地方居民最有意义的几个日子。	These three festival days excited the people here exactly as they had fifty years before.  They were still the days that meant the most.
端午日，当地妇女小孩子，莫不穿了新衣，额角上用雄黄蘸酒画了个王字。	At the Dragon Boat Festival on the fifth day of the fifth lunar month, women and children put on new clothes and painted the character wang, or "king," on their foreheads using wine mixed with realgar.
任何人家到了这天必可以吃鱼吃肉。大约上午十一点钟左右，全茶峒人就吃了午饭，把饭吃过后，在城里住家的，莫不倒锁了门，全家出城到河边看划船。	Everybody got to eat fish and meat this day. By eleven o'clock in the morning, all Chadong was sitting down to lunch, after which those who lived in town locked their doors and went down to the riverside to see the dragon boats race.
河街有熟人的，可到河街吊脚楼门口边看，不然就站在税关门口与各个码头上看。	If they knew people on River Street, they could watch from the houses on stilts overhanging the river. Otherwise, they watched from in front of the customs house or from one of the many piers.
河中龙船以长潭某处作起点，税关前作终点。作比赛竞争。	The dragon boat race began downstream at the Long Depths stretch of the river. The finish line was in front of the customs house.
因为这一天军官税官以及当地有身分的人，莫不在税关前看热闹。	The local military officers, customs officials, and all people of importance gathered at the customs house this day to take in the excitement.
划船的事各人在数天以前就早有了准备，分组分帮各自选出了若干身体结实手脚伶俐的小伙子，在潭中练习进退。	The oarsmen had prepared for the race days in advance, with each competing team selecting its strongest and nimblest young lads to practice their maneuvers in the deep part of the river.
船只的形式，与平常木船大不相同，形体一律又长又狭，两头高高翘起，船身绘着朱红颜色长线，平常时节多搁在河边干燥洞穴里，要用它时，拖下水去。	The dragon boats were longer and narrower than ordinary wooden boats, with upturned ends and a long vermilion stripe painted on the hull.  Most of the year they were stored in dry caves by the river.  When it came time to use them, they were towed out into the water.
每只船可坐十二个到十八个桨手，一个带头的，一个鼓手，一个锣手。	Each boat sat twelve to eighteen oarsmen, a helmsman, and two men to beat the drum and gong.
桨手每人持一支短桨，随了鼓声缓促为节拍，把船向前划去。	The oarsmen's short paddles rowed the boat forward to the rhythm of the drumbeats  first unhurried, then urgent.
坐在船头上，头上缠裹着红布包头，手上拿两支小令旗，左右挥动，指挥船只的进退。	The red-turbaned cox sat in the prow waving two little signal flags left and right, directing the motion of the boat.
擂鼓打锣的，多坐在船只的中部，船一划动便即刻蓬蓬镗镗把锣鼓很单纯的敲打起来，为划桨水手调理下桨节拍。	The men who pounded the drum and beat the gong usually sat amidships.  The moment the boat launched, they started up the single-minded booming and clanging that governed the speed with which the boatmen thrust their oars into the river.
一船快慢既不得不靠鼓声，故每当两船竞赛到剧烈时，鼓声如雷鸣，加上两岸人呐喊助威，便使人想起梁红玉老鹳河时水战擂鼓，牛皋水擒杨么时也是水战擂鼓。	The boat's speed had to follow the sound of the drum and gong, so whenever two boats got to the climax of their competition, the thunder of the percussion, added to the encouraging cheers from both banks, recalled novels and stories about Liang Hongyu beating her drum in the historic naval battle at Laoguan River, and the cacophony when Niu Gao fished the rebel Yang Yao out of the water.
凡把船划到前面一点的，必可在税关前领赏，一匹红，一块小银牌，不拘缠挂到船上某一个人头上去，皆显出这一船合作的光荣。	All who rowed their boat to victory were rewarded at the finish line in front of the customs house with red silk and a little silver badge, not just for their individual efforts but to acknowledge the boat's glorious teamwork.
好事的军人，且当每次某一只船胜利时，必在水边放些表示胜利庆祝的五百响鞭炮。	Soldiers used to taking things into their own hands felt compelled to congratulate the victorious boat by setting off strings of five-hundred-pop firecrackers.
赛船过后，城中的戍军长官，为了与民同乐，增加这节日的愉快起见，便把三十只绿头长颈大雄鸭，颈膊上缚了红布条子，放入河中，尽善于泅水的军民人等，下水追赶鸭子。	After the race, the garrison soldiers and officers in town, to make common cause with the citizenry and increase the merriment of all concerned, released green-headed drakes out on the river with red ribbons tied around their long necks, so that the best swimmers, be they soldiers or civilians, could jump into the river and catch them.
不拘谁把鸭子捉到，谁就成为这鸭子的主人。	Anyone who captured a duck got to keep it.
于是长潭换了新的花样，水面各处是鸭子，各处有追赶鸭子的人。	Thereupon the river at Long Depths hosted a unique spectacle: a stream simply covered with ducks  and people swimming after them.
船与船的竞赛，人与鸭子的竞赛，直到天晚方能完事。	These competitions, of boat against boat and man against duck, went on until the day was done.
掌水码头的龙头大哥顺顺，年青时节便是一个泅水的高手，入水中去追逐鸭子，在任何情形下总不落空。	Dragon Head Elder Brother Shunshun, now boss of the riverfront, had been an expert swimmer in his youth.  When he dove into the water to catch a drake, he never went home empty-handed.
但一到次子傩送年过十二岁时，已能入水闭铺汆着到鸭子身边，再忽然从水中冒水而出，把鸭子捉到，这作爸爸的便解嘲似的说：「好，这种事有你们来作，我不必再下水了。」于是当真就不下水与人来竞争捉鸭子。但下水救人呢，当作别论。	But it came to be that during one festival, when his younger son, Nuosong, had turned eleven and was able to hold his breath long enough to swim to a drake under water and catch him by surprise, the father said to his son, a little defensively, "All right, it's up to you two now, no need for me to dive in anymore!" And that was the end of his jumping into the water to compete in catching ducks. Diving in to save a life, of course, was a different matter.
凡帮助人远离患难，便是入火，人到八十岁，也还是成为这个人一种不可逃避的责任！	He would jump into fire itself to save a person from calamity.  You could be sure he would consider it his bounden duty even when he was eighty!
天保傩送两人皆是当地泅水划船好选手。	Now Tianbao and Nuosong were the best rowers around, the top picks.
端午又快来了，初五划船，河街上初一开会，就决定了属于河街的那只船当天入水。	The Dragon Boat Festival on the fifth of the month was about to come around, so a big meeting was held on River Street on the first.  The neighborhood decided then to launch the boat that belonged to their street.
天保恰好在那天应向上行，随了陆路商人过川东龙潭送节货，故参加的就只傩送。	It happened that Tianbao was on an upcountry journey that day, accompanying merchants on the land route to East Sichuan to sell festival goods in Longtan.  Only Nuosong could attend the meeting.
十六个结实如牛犊的小伙子，带了香烛、鞭炮、同一个用生牛皮蒙好绘有朱红太极图的高脚鼓，到了搁船的河上游山洞边，烧了香烛，把船拖入水后，各人上了船，燃着鞭炮，擂着鼓，这船便如一枝箭似的，很迅速的向下游长潭射去。	Sixteen strapping young men, strong as oxen, journeyed upriver to the mountain cave where the boats were hidden, carrying incense, candles, firecrackers, and a drum on legs, whose rawhide drumheads had the circular yin-yang symbol painted in vermilion.  Ceremoniously, they lit incense and candles and pulled their boat into the river.  Then they boarded it, exploding firecrackers and beating the drum.  The boat swept downstream, swift as an arrow, to the Long Depths.
那时节还是上午，到了午后，对河渔人的龙船也下了水，两只龙船就开始预习种种竞赛的方法。	That was in the morning.  After noon, the dragon boat of the fisher folk on the other shore was launched, too; the two boats began to practice all sorts of competitive maneuvers.
水面上第一次听到了鼓声，许多人从这鼓声中，感到了节日临近的欢悦。	The very first drumbeats coming from the river brought joy to those who heard them, a sign that the festival was close at hand.
住临河吊脚楼对远方人有所等待有所盼望的，也莫不因鼓声想到远人。	Denizens of the houses on stilts near the river began to think of their man's return, or began to hope for it, or at the very least were stimulated by the drumming to remember him.
在这个节日里，必然有许多船只可以赶回，也有许多船只只合在半路过节，这之间，便有些眼目所难见的人事哀乐，在这小山城河街间，让一些人铺事，也让一些人皱眉。	Many boats would be home for the festival, but others would have to pass the day away from home.  This was a time when you could see feelings of delight and sorrow you ordinarily didn't get to see.  Along the River Street of this little mountain town, some people were beaming; others were frowning.
蓬蓬鼓声掠水越山到了渡船头那里时，最先注意到的是那只黄狗。	When the booming of the drums skimmed over the water and crossed the hills to the ferryboat, the first to hear it was the yellow dog.
那黄狗汪汪的吠着，受了惊似的绕屋乱走，有人过渡时，便随船渡过河东岸去，且跑到那小山头向城里一方面大吠。	Startled, he ran wildly around the house in circles, yapping all the way. When someone ferried across the stream to the eastern bank, he followed and ran up the hill with them, barking toward the town.
翠翠正坐在门外大石上用棕叶编蚱蜢蜈蚣玩，见黄狗先在太阳下睡着，忽然醒来便发疯似的乱跑，过了河又回来，就问它骂它：	Cuicui was sitting on the great rocky bluffs outside her door, weaving grasshoppers and centipedes from palm leaves to amuse herself, when she saw the yellow dog suddenly awaken from his sleep under the sun and run around as if possessed, then cross the stream and come back. She scolded him,
「狗，狗，你做什么！不许这样子！」	"Hey there, dog! What's gotten into you? Stop it!"
可是一会儿那声音被她发现了，她于是也绕屋跑着，且同黄狗一块儿渡过了小溪，站在小山头听了许久，让那点迷人的鼓声，把自己带到一个过去的节日里去。	But soon she made out the sound herself. She, too, ran around the house, then ferried herself and the dog across the stream, where she stood with him on the hilltop and listened for the longest time, letting those entrancing drumbeats carry her away to a festival in the past.
第四章	CHAPTER FOUR
还是两年前的事。五月端阳，渡船头祖父找人作了代替，便带了黄狗同翠翠进城，过大河边去看划船。	It was two years earlier: at festival time, on the fifth day of the fifth month, Grandpa found someone to replace him at the ferry and took the yellow dog and Cuicui into town to see the boat race.
河边站满了人，四只朱色长船在潭中划着，龙船水刚刚涨过，河中水皆豆绿，天气又那么明朗，鼓声蓬蓬响着，翠翠抿着嘴一句话不说，心中充满了不可言说的快乐。	The riverbanks were crowded with people as four long, red boats slipped across the river depths.  The "Dragon Boat tide" that raised the waters, the pea-green color of the stream, the bright, clear day, and the booming of the drums had Cuicui pursing her lips in silence, though her heart swelled with inexpressible joy.
河边人太多了一点，各人皆尽张着眼睛望河中，不多久，黄狗还在身边，祖父却挤得不见了。	It was so crowded, with everyone straining to see what was happening on the river, that before long, though the yellow dog remained at Cuicui's side, Grandpa was jostled away out of sight.
翠翠一面注意划船，一面心想「过不久祖父总会找来的」。	Cuicui kept watching the boat race, thinking to herself that her grandfather was bound to come back soon.
但过了许久，祖父还不来，翠翠便稍稍有点儿着慌了。	But a long time passed and he failed to return.  Cuicui began to feel a little panicky.
先是两人同黄狗进城前一天，祖父就问翠翠：「明天城里划船，倘若一个人去看，人多怕不怕？」翠翠就说：「人多我不怕，但自己只是一个人可不好玩。」于是祖父想了半天，方想起一个住在城中的老熟人，赶夜里到城里去商量，请那老人来看一天渡船，自己却陪翠翠进城玩一天。	When the two of them had come to town the day before with the yellow dog, Grandpa had asked Cuicui, "Tomorrow is the boat race: if you go into town by yourself to see it, will you be afraid of the crowd?" Cuicui replied, "Crowds don't scare me, but it's no fun to watch the race by yourself." At that, her grandfather thought it over and finally remembered an old friend in town. He went that night to ask the old man to come tend the ferryboat for the day so he could bring Cuicui to town.
且因为那人比渡船老人更孤单，身边无一个亲人，也无一只狗，因此便约好了那人早上过家中来吃饭，喝一杯雄黄酒。	Since the other man was even more alone than the old ferryman, without a relative to his name  not even a dog  it was agreed that he'd come over in the morning for a meal and a cup of realgar wine.
第二天那人来了，吃了饭，把职务委托那人以后，翠翠等便进了城。	The next day arrived; with the meal finished and the ferry duty handed over to the other man, Cuicui and her family entered the town.
到路上时，祖父想起什么似的，又问翠翠，「翠翠，翠翠，人那么多，好热闹，你一个人敢到河边看龙船吗？」	It occurred to Grandpa to ask along the way, once again: "Cuicui, with so many people down there, and so much commotion, do you dare go down to the riverbank to watch the dragon boats alone?"
翠翠说：「怎么不敢？可是一个人有什么意思。」到了河边后，长潭里的四只红船，把翠翠的注意力完全占去了，身边祖父似乎也可有可无了。祖父心想：「时间还早，到收场时，至少还得三个时刻。溪边的那个朋友，也应当来看看年青人的热闹，回去一趟，换换地位还赶得及。」	Cuicui answered, "Of course I do! But what's the point of watching it alone?" Once they got to the river, the four vermilion boats at Long Depths mesmerized Cuicui. She forgot all about her grandfather. He thought to himself, "This will take some time; it'll be another three hours before it's over. My friend back at the ferry deserves to see the young people whoop it up. I ought to go back and trade places with him.  There's plenty of time."
因此就问翠翠，「人太多了，站在这里看，不要动，我到别处去有事情，无论如何总赶得回来伴你回家。」翠翠正为两只竞速并进的船迷着，祖父说的话毫不思索就答应了。	So he told Cuicui, "It's crowded, so you stay right in this spot. I have to go do something, but I'll be sure to get back in time to take you home." Cuicui was spellbound by the sight of two boats racing prow-to-prow, so she agreed without taking in what her grandpa had said.
祖父知道黄狗在翠翠身边，也许比他自己在她身边还稳当，于是便回家看船去了。	Realizing that the yellow dog at Cuicui's side might well be more reliable than he, the old man returned home to the ferry.
祖父到了那渡船处时，见代替他的老朋友，正站在白塔下注意听远处鼓声。	When he arrived, Grandpa saw his old friend standing below the white pagoda, listening to the distant sound of the drums.
祖父喊他，请他把船拉过来，两人渡过小溪仍然站到白塔下去。	Grandpa hailed him to bring the boat over so the two could ferry across the brook and stand under the pagoda together.
那人问老船夫为什么又跑回来，祖父就说想替他一会儿故把翠翠留在河边，自己赶回来，好让他也过河边去看看热闹，且说，「看得好，就不必再回来，只须见了翠翠问她一声，翠翠到时自会回家的。小丫头不敢回家，你就伴她走走」	The friend asked why the old ferryman had returned in such a hurry.  Grandpa told him he wanted to spell him a while.  He'd left Cuicui by the shore so his friend could also enjoy the excitement down at the big river. He added, "If you like the spectacle, no need to return, just tell Cuicui to come home when it's over. If my little girl is afraid to come by herself, you can accompany her back!"
但那替手对于看龙船已无什么兴味，却愿意同老船夫在这溪边大石上各自再喝两杯烧酒。	Grandpa's stand-in had long ago lost any interest in watching dragon boats; he'd rather stay here with the ferryman on the big bluffs by the stream and drink a cup or two of wine.
老船夫十分高兴，把葫芦取出，推给城中来的那一个。	The old ferryman was quite happy to hear that.  He took out his gourd of wine and gave it to his friend from town.
两人一面谈些端午旧事，一面喝酒，不到一会，那人却在岩石上为烧酒醉倒了。	They reminisced about Dragon Boat Festivals past as they drank.  Pretty soon the friend drank himself to sleep, out on the rock.
人既醉倒了，无从入城，祖父为了责任又不便与渡船离开，留在河边的翠翠便不能不着急了。	Having succumbed to the liquor, he could hardly return to town. Grandpa couldn't very well abandon his post at the ferry, either. Cuicui, who was stranded at the river, began to worry.
河中划船的决了最后胜负后，城里军官已派人驾小船在潭中放了一群鸭子，祖父还不见来。	The boat race achieved its final outcome and the military officers in town sent a boat into the Long Depths to release the ducks.  Still Grandpa was nowhere to be seen.
翠翠恐怕祖父也正在什么地方等着她，因此带了黄狗各处人丛中挤着去找寻祖父，结果还是不得祖父的踪迹。	Fearing that her grandfather might be waiting for her somewhere else, Cuicui and the yellow dog made their way through the crowd, and still there was no trace of him.
后来看看天快要黑了，军人扛了长凳出城看热闹的，皆已陆续扛了那凳子回家。	Soon it would be twilight.  All the soldiers from town who'd come hefting benches to watch the commotion had shouldered them now and returned home, one by one.
潭中的鸭子只剩下三五只，捉鸭人也渐渐的少了。	Only three or four ducks remained at liberty in the river.  The number of people chasing them was dwindling, too.
落日向上游翠翠家中那一方落去，黄昏把河面装饰了一层薄雾。	The sun was setting, in the direction of Cuicui's home upstream.  Dusk draped the river in a thin coat of mist.
翠翠望到这个景致，忽然起了一个怕人的想头，她想：「假若爷爷死了？」	A terrible thought suddenly occurred to Cuicui as she surveyed this scene: "Could Grandpa be dead?"
她记起祖父嘱咐她不要离开原来地方那一句话，便又为自己解释这想头的错误，以为祖父不来必是进城去或到什么熟人处去，被人拉着喝酒，故一时不能来的。	Keeping in mind that Grandpa had asked her to stay in this spot, she tried to disprove the awful thought to herself by imagining that he must have gone into town and run into an acquaintance, maybe been dragged off to have a drink.  That was why he hadn't come back.
正因为这也是可能的事，她又不愿在天未断黑以前，同黄狗赶回家去，只好站在那石码头边等候祖父。	Because it really was a possibility, she didn't want to leave for home with the yellow dog when it wasn't completely dark yet.  She could only keep on waiting for her grandpa there by the stone pier.
再过一会，对河那两只长船已泊到对河小溪里去不见了，看龙船的人也差不多全散了。	Soon two long boats from the other shore moved into a small tributary and disappeared.  Nearly all the spectators had dispersed, too.
吊脚楼有娼妓的人家，已上了灯，且有人敲小斑鼓弹月琴唱曲子。	The prostitutes in the houses on stilts lit their lanterns and some of them were already singing to the sound of tambourines and lutes.
另外一些人家，又有划拳行酒的吵嚷声音。	From other establishments came the raucous shouting of men drinking during the guess-fingers game.
同时停泊在吊脚楼下的一些船只，上面也有人在摆酒炒菜，把青菜萝卜之类，倒进滚热油锅里去时发出唦－－的声音。	Meanwhile, in boats moored below the stilt houses, people were frying up dishes for a feast; greens and turnips sizzled in oil as they plopped into their woks.
河面已朦朦胧胧，看去好像只有一只白鸭在潭中浮着，也只剩一个人追着这只鸭子。	The river was already obscured by the misty darkness.  Only a solitary white duck was still afloat on the river, with just one person chasing it.
翠翠还是不离开码头，总相信祖父会来找她，同她一起回家。	Cuicui stayed by the dockside, still believing that her grandfather would come to take her home.
吊脚楼上唱曲子声音热闹了一些，只听到下面船上有人说话，一个水手说：「金亭，你听你那铺子陪川东庄客喝酒唱曲子，我赌个手指，说这是她的声音！」	As the strains of song coming from the stilt houses grew louder, she heard talking on a boat below, and a boatman saying, "Jinting, listen, that's your whore, singing to some merchant from Sichuan while he downs his liquor! I'll bet a finger on it, that's her voice!"
另一个水手就说：「她陪他们喝酒唱曲子，心里可想我。她知道我在船上！」	Another boatman replied, "Even when she sings drinking songs for other men, she's still thinking of me! She knows I'm in this boat!"
先前那一个又说：「身体让别人玩着，心还想着你；你有什么凭据？」另一个说：「有凭据。」于是这水手吹着呼哨，作出一个古怪的记号，一会儿，楼上歌声便停止了。歌声停止后，两个水手皆笑了。两人接着便说了些关于那个女人的一切，使用了不少粗鄙字眼，翠翠很不习惯把这种话听下去，但又不能走开。且听水手之一说，楼上妇人的爸爸是在棉花坡被人杀死的，一共杀了十七刀。	The first added, "So she gives her body to other people, but her heart stays with you? How do you know?" The other said, "I'll prove it to you!" Whereupon he gave a strange whistle. The singing above stopped, and the boatmen had a good laugh. They had a good deal to say about the woman after that, much of it obscene. Cuicui was not used to such language, but she couldn't leave the spot.  Not only that, she heard one of the boatmen say that the woman's father had been stabbed at Cotton Ball Slope  seventeen times.
翠翠心中那个古怪的想头，「爷爷死了呢？」便仍然占据到心里有一忽儿。	That uncomfortable thought suddenly seized her again: "Could Grandpa be dead?"
两个水手还正在谈话，潭中那只白鸭慢慢的向翠翠所在的码头边游来，翠翠想：「再过来些我就捉住你！」	As the boatmen continued conversing, the remaining white drake in the pool swam slowly toward the pier where Cuicui stood. She thought to herself, "Come any closer and I'll catch you!"
于是静静的等着，但那鸭子将近岸边三丈远近时，却有个人笑着，喊那船上水手。	She kept waiting there quietly, but when the duck came within ten yards of the shore, someone laughed and hailed the sailors on the boat.
原来水中还有个人，那人已把鸭子捉到手，却慢慢的「踹水」游近岸边的。	A third person was still in the water.  He grabbed the duck and was slowly making his way to shore, treading water.
船上人听到水面的喊声，在隐约里也喊道：「二老，二老，你真干，你今天得了五只吧。」那水上人说：「这家伙狡猾得很，现在可归我了。」「你这时捉鸭子，将来捉女人，一定有同样的本领。」水上那一个不再说什么，手脚并用的拍着水傍了码头。湿淋淋的爬上岸时，翠翠身旁的黄狗，彷佛警问水中人似的，汪汪的叫了几声，那人方注意到翠翠。	Hearing the shouting from the river, a man on the boat yelled back into the murky haze, "Hey, No. 2, you're really something! That's the fifth one you've bagged today." The one in the water replied, "This character was really clever, but I caught him anyway." "It's ducks for you today, and tomorrow women  I'll bet you'll be just as good at that." The one in the water fell silent and swam up to the pier. As he climbed up onshore, dripping wet, the yellow dog at Cuicui's side yapped at him as a warning. It was then that he noticed Cuicui.
码头上已无别的人，那人问：	She was the only one on the dock now.
「是谁？」	"Who are you?" he asked.
「是翠翠！」	"Cuicui."
「翠翠又是谁？」	"And who might that be?"
「是碧溪岨撑渡船的孙女。」	"The granddaughter of the ferryman at Bixiju, Green Creek Hill."
「你在这儿做什么？」	"What are you doing here?"
「我等我爷爷。我等他来好回家去。」	"Waiting for my grandpa. He's coming to get me."
「等他来他可不会来，你爷爷一定到城里军营里喝了酒，醉倒后被人抬回去了！」	"It doesn't look like he's coming. Your grandfather must have gone into town for a drink at the army barracks. I'll bet he passed out and someone carried him home!"
「他不会。他答应来，他就一定会来的。」	"He wouldn't do any such thing. He said he'd come get me, so that's what he'll do."
「这里等也不成。到我家里去，到那边点了灯的楼上去，等爷爷来找你好不好？」	"This is no place to wait for him. Come up to my house, over there where the lamps are lit. You can wait for him there. How about that?"
翠翠误会邀他进屋里去那个人的好意，正记着水手说的妇人丑事，她以为那男子就是要她上有女人唱歌的楼上去，本来从不骂人，这时正因等候祖父太久了，心中焦急得很，听人要她上去，以为欺侮了她，就轻轻的说：	Cuicui mistook his good intentions in inviting her to his home. Recalling the revolting things the sailors had said about that woman, she thought the boy wanted her to go up into one of those houses with the singing girls. She'd never cursed before, but she was on edge, having waited so long for her grandfather. When she heard herself invited to go upstairs to his home, she felt insulted and said, softly,
「你个悖时砍脑壳的！」	"Damned low-life! You're headed for the executioner!"
话虽轻轻的，那男的却听得出，且从声音上听得出翠翠年纪，便带笑说：「怎么，你骂人！你不愿意上去，要待在这儿，回头水里大鱼来咬了你，可不要叫喊！」	She said it under her breath, but the boy heard it, and he could tell from her voice how young she was. He smiled at her and said, "What, are you cursing me? If you want to wait here instead of coming with me, and a big fish comes up and bites you, don't expect me to rescue you!"
翠翠说：「鱼咬了我也不管你的事。」	Cuicui answered, "If a fish does bite me, that's nothing to you."
那黄狗好像明白翠翠被人欺侮了，又汪汪的吠起来。	As if aware that Cuicui had been insulted, the yellow dog began barking again.
那男子把手中白鸭举起，向黄狗吓了一下，便走上河街去了。	The boy lunged at the dog with the duck to scare him, then walked off toward River Street.
黄狗为了自己被欺侮还想追过去，翠翠便喊：「狗，狗，你叫人也看人叫！」	The dog wanted to chase him, having now been insulted himself, when Cuicui yelled, "Hey, boy, save your barks for when they're needed!"
翠翠意思彷佛只在问给狗「那轻薄男子还不值得叫」，但男子听去的却是另外一种好意，男的以为是她要狗莫向好人叫，放肆的笑着，不见了。	Her meaning seemed to be, "That joker isn't worth barking at," but the young man thought he heard something else, to the effect that the dog should not bark at a well-meaning person. He was wreathed in smiles as he disappeared from view.
又过了一阵，有人从河街拿了一个废缆做成的火炬，喊叫着翠翠的名字来找寻她，到身边时翠翠却不认识那个人。	A while later, someone came over from River Street to fetch Cuicui, bearing a torch made from leftover rope and calling her name.  But when she saw his face, Cuicui didn't recognize him.
那人说：老船夫回到家中，不能来接她，故搭了过渡人口信来，问翠翠要她即刻就回去。	He explained that the old ferryman had gone home and could not come to retrieve her, so he'd sent a message back with a passenger for Cuicui to return home at once.
翠翠听说是祖父派来的，就同那人一起回家，让打火把的在前引路，黄狗时前时后，一同沿了城墙向渡口走去。	When Cuicui heard that her grandfather had sent the man, she went home with him, skirting the city wall and letting him lead the way with his torch.  The yellow dog sometimes went in front, sometimes in back.
翠翠一面走一面问那拿火把的人，是谁问他就知道她在河边。	Along the way, Cuicui asked the man how he'd known she was still there by the river.
那人说是二老问他的，他是二老家里的伙计，送翠翠回家后还得回转河街。	He said No. 2 had told him; he worked in No. 2's household.  When he got her home, he'd have to return to River Street.
翠翠说：「二老他怎么知道我在河边？」	Cuicui asked, "How did No. 2 know I was there?"
那人便笑着说：「他从河里捉鸭子回来，在码头上见你，他说好意请你上家里坐坐，等候你爷爷，你还骂过他！」	Her guide smiled and said, "He was out on the river catching ducks and he saw you by the dock on his way home. He asked you, innocently enough, to go home and sit a while in his house until your grandpa came, but you swore at him! And your dog barked at him, having no idea who he was!"
翠翠带了点儿惊讶轻轻的问：「二老是谁？」	Surprised at this, Cuicui asked, softly, "Who is No. 2?"
那人也带了点儿惊讶说：「二老你都不知道？就是我们河街上的傩送二老！就是岳云！他要我送你回去！」傩送二老在茶峒地方不是一个生疏的名字！	Now it was the worker's turn to be surprised: "You've never heard of No. 2? He's Nuosong! We call him No. 2 on River Street. He's our Yue Yun! And he asked me to take you home!" Nuosong was not an unfamiliar name in Chadong!
翠翠想起自己先前骂人那句话，心里又吃惊又害羞，再也不说什么，默默的随了那火把走去。	When Cuicui thought of her curse words a while ago, she felt stunned and also ashamed. There was nothing she could say. She followed the torchbearer silently.
翻过了小山岨，望得见对溪家中火光时，那一方面也看见了翠翠方面的火把，老船夫即刻把船拉过来，一面拉船一面哑声儿喊问：「翠翠，翠翠，是不是你？	When they'd rounded the hill and could see the lamplight in the house across the stream, the ferryman spotted the torchlight where Cuicui was.
